timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1683250403640,2,index,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-6,text,false,,2837,0,2,2,https://localhost:3000/index.html,0,0,2
1683250403639,3,vr,200,OK,Thread Group 1-7,text,true,,13617,123,2,2,http://localhost:3000/vr.html,3,0,1
1683250403642,2,index,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-7,text,false,,2837,0,2,2,https://localhost:3000/index.html,0,0,2
1683250403642,2,vr,200,OK,Thread Group 1-6,text,true,,13617,123,2,2,http://localhost:3000/vr.html,2,0,1
1683250403644,3,vr,200,OK,Thread Group 1-7,text,true,,13617,123,2,2,http://localhost:3000/vr.html,3,0,1
1683250403644,3,index,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-6,text,false,,2837,0,2,2,https://localhost:3000/index.html,0,0,3
1683250403647,3,index,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-7,text,false,,2837,0,1,1,https://localhost:3000/index.html,0,0,3
1683250403651,2,vr,200,OK,Thread Group 1-7,text,true,,13617,123,1,1,http://localhost:3000/vr.html,2,0,0
1683250403653,3,index,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-7,text,false,,2837,0,1,1,https://localhost:3000/index.html,0,0,3
1683250403657,4,vr,200,OK,Thread Group 1-7,text,true,,13617,123,1,1,http://localhost:3000/vr.html,4,0,1
1683250403661,3,index,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-7,text,false,,2837,0,1,1,https://localhost:3000/index.html,0,0,3
1683250403665,2,vr,200,OK,Thread Group 1-7,text,true,,13617,123,1,1,http://localhost:3000/vr.html,2,0,0
